date,close
2012-12-03,1.0422
2012-12-04,1.0471
2012-12-05,1.0456
2012-12-06,1.0487
2012-12-07,1.0489
2012-12-10,1.0489
2012-12-11,1.0529
2012-12-12,1.0551
2012-12-13,1.0527
2012-12-14,1.0553
2012-12-17,1.0551
2012-12-18,1.0534
2012-12-19,1.0481
2012-12-20,1.0483
2012-12-21,1.0399
2012-12-24,1.0361
2012-12-25,1.0361
2012-12-26,1.0376
2012-12-27,1.0377
2012-12-28,1.0369
2012-12-31,1.0398
2013-01-01,1.0396
2013-01-02,1.0505
2013-01-03,1.0466
2013-01-04,1.048
2013-01-07,1.0504
2013-01-08,1.0504
2013-01-09,1.0514
2013-01-10,1.0597
2013-01-11,1.055
2013-01-14,1.0566
2013-01-15,1.0565
2013-01-16,1.0571
2013-01-17,1.0547
2013-01-18,1.0508
2013-01-21,1.0516
2013-01-22,1.0567
2013-01-23,1.0553
2013-01-24,1.045
2013-01-25,1.0416
2013-01-28,1.0418
2013-01-29,1.0475
2013-01-30,1.0415
2013-01-31,1.0425
2013-02-01,1.0427
2013-02-04,1.0438
2013-02-05,1.039
2013-02-06,1.032
2013-02-07,1.0282
2013-02-08,1.0314
2013-02-11,1.0256
2013-02-12,1.0306
2013-02-13,1.0368
2013-02-14,1.036
2013-02-15,1.0292
2013-02-18,1.0306
2013-02-19,1.0356
2013-02-20,1.0257
2013-02-21,1.0243
2013-02-22,1.0321
2013-02-25,1.0258
2013-02-26,1.023
2013-02-27,1.0233
2013-02-28,1.0215
2013-03-01,1.0202
2013-03-04,1.0196
2013-03-05,1.0259
2013-03-06,1.0231
2013-03-07,1.0267
2013-03-08,1.0215
2013-03-11,1.0276
2013-03-12,1.0323
2013-03-13,1.0298
2013-03-14,1.0384
2013-03-15,1.0409
2013-03-18,1.0403
2013-03-19,1.037
2013-03-20,1.0379
2013-03-21,1.0439
2013-03-22,1.0445
2013-03-25,1.0466
2013-03-26,1.0484
2013-03-27,1.0444
2013-03-28,1.0413
2013-03-29,1.0418
2013-04-01,1.0423
2013-04-02,1.045
2013-04-03,1.0461
2013-04-04,1.0435
2013-04-05,1.0382
2013-04-08,1.0413
2013-04-09,1.049
2013-04-10,1.0543
2013-04-11,1.0539
2013-04-12,1.0507
2013-04-15,1.0313
2013-04-16,1.0391
2013-04-17,1.0297
2013-04-18,1.0301
2013-04-19,1.0277
2013-04-22,1.0275
2013-04-23,1.0263
2013-04-24,1.028
2013-04-25,1.029
2013-04-26,1.0277
2013-04-29,1.0351
2013-04-30,1.0371
2013-05-01,1.0278
2013-05-02,1.0248
2013-05-03,1.0318
2013-05-06,1.0254
2013-05-07,1.0184
2013-05-08,1.0171
2013-05-09,1.0092
2013-05-10,1.0025
2013-05-13,0.9952
2013-05-14,0.9891
2013-05-15,0.9898
2013-05-16,0.9809
2013-05-17,0.9731
2013-05-20,0.9811
2013-05-21,0.9802
2013-05-22,0.9699
2013-05-23,0.9751
2013-05-24,0.9653
2013-05-27,0.9634
2013-05-28,0.9615
2013-05-29,0.9634
2013-05-30,0.9662
2013-05-31,0.9568
2013-06-03,0.977
